"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","BTSG_IPO","-119977.43","-24028.95","34237429.12","-1831.31","-24028.96","-24028.96","-24028.96"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","ICHR_Marketed FO","","","34237429.12","0.00","0.00","0.00","0.00"
"N/A","N/A","1/31/2024","Alternative Fund Gamma Holdings II LP","","","","","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","PR_Registered Block 2","-883.58","-865.02","34237429.12","0.00","-865.02","-865.02","-865.02"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","GEHC_Overnight FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","AUTO NO_Registered Block","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Registered Block","Missing Active Hedge","CCCS_Registered Block 2","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","FDMT_Marketed FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Block","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Desk Block","Missing Active Hedge","PAYX_Desk Block","-1668.41","-1668.40","34237429.12","0.00","-1668.40","-1668.40","-1668.40"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","AHR_IPO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","MLNK_Overnight FO","","","34237429.12","0.00","0.00","0.00","0.00"
"ECM","IPO","1/31/2024","Alternative Fund Gamma Holdings II LP","Capital Market Solutions","IPO","Missing Active Hedge","R3NK GY_IPO","","","34237429.12","0.00","0.00","0.00","0.00"
